 53, "DR Crash Space",          6,  69.3,  15.4,  28.2,  41.0,  54.2,  67.2,  80.4
 54, "DR Hat Reverse",          1,  68.0,  11.8,  21.1,  30.4,  39.5,  48.7,  57.9
 55, "DR Hat Short Moves",      1,  68.7,  12.1,  21.2,  30.4,  39.5,  48.6,  57.9
 56, "DR Hat Short",            4,  68.7,  11.8,  20.9,  30.1,  39.3,  48.3,  57.6
 57, "DR HiHat FN",             1,  69.3,   9.0,  14.9,  20.8,  26.6,  32.4,  38.3
 58, "DR Kick Clean",           1,  69.3,  12.7,  22.4,  32.2,  41.9,  51.6,  61.4
 59, "DR Kick FN",              1,  68.7,   9.8,  16.3,  22.9,  29.5,  35.9,  42.5
 60, "DR Kick II FN",           1,  69.3,  18.9,  25.6,  32.4,  39.3,  46.0,  52.7
 61, "DR Kick III FN",          1,  69.3,  18.7,  26.6,  34.6,  42.7,  50.8,  58.7
 62, "DR Kick Old School",      6,  68.7,  12.7,  22.4,  32.2,  41.9,  51.6,  61.4
 63, "DR Kick Phat",            1,  68.7,  17.4,  26.7,  36.1,  45.6,  54.8,  64.0
 64, "DR Perc Bongo Room",      1,  68.7,  15.7,  23.6,  31.6,  39.6,  47.2,  54.6
 65, "DR Perc Room",            1,  69.3,  14.7,  21.4,  28.1,  35.0,  41.3,  47.8
 66, "DR Snare Dry",            1,  69.3,  13.9,  22.5,  30.8,  39.1,  47.2,  55.4
 67, "DR Sub Impact",           1,  69.3,   9.9,  16.6,  23.2,  29.8,  36.4,  43.3
 68, "FX Alien Storm",          1,  68.7,  98.9,  99.3, 100.5, 101.0, 102.0, 102.9
 69, "FX Blubberwasser FN",     1,  67.4,  21.7,  33.3,  45.3,  57.7,  69.7,  81.5
 70, "FX Break FM",             6,  68.7,  23.1,  39.0,  55.3,  72.3,  89.2, 106.5
 71, "FX C64 FN",               1,  69.3,  20.8,  32.4,  43.5,  54.6,  65.1,  75.9
 72, "FX Digital Transfer",     1,  68.7,  21.1,  35.0,  49.4,  64.9,  80.8,  97.7
 73, "FX Falling Break",        1,  68.7,  49.7,  49.8,  49.5,  49.6,  49.5,  49.4
 74, "FX Metallica FN",         1,  68.7,  63.3,  63.5,  33.5,  43.4,  53.5,  63.7
 75, "FX Mod Triangle FM",      1,  68.7,  10.9,  19.2,  27.8,  36.3,  44.7,  53.4
 76, "FX Noiz3machin3 FN",      1,  68.7,  19.6,  30.3,  43.2,  54.3,  64.2,  77.5
 77, "FX Quitscheentchen FN",   6,  68.7,  21.7,  33.3,  45.3,  57.5,  69.6,  81.6
 78, "FX Radeberger FN",        6,  68.7,  25.2,  43.2,  61.4,  79.8,  98.3, 116.7
 79, "FX Raindrops FN",         6,  67.4,  21.9,  33.6,  45.3,  57.3,  68.9,  80.4
 80, "FX Reverse FM",           6,  68.7,  11.6,  20.0,  28.3,  36.7,  45.1,  53.4
 81, "FX SO 6dB Sweep",         1,  68.7,  10.1,  17.2,  24.3,  31.4,  38.3,  45.3
 82, "FX Swell FN",             1,  68.7,  16.5,  25.2,  33.8,  42.8,  51.6,  60.9
 83, "FX Turntable FN",         6,  69.3,  25.2,  39.3,  53.4,  68.7,  84.3, 100.6
 84, "KB Big Synth FN",         6,  68.0,  51.8,  52.0,  51.7,  38.1,  44.9,  51.7
 85, "KB E-Piano",              6,  69.3,  15.3,  22.9,  30.2,  37.6,  46.4,  52.4
 86, "KB Glockenschlag FN",     4,  69.3,  17.1,  25.3,  33.2,  41.8,  50.3,  59.4
 87, "KB Piano House",          6,  68.7,  16.7,  24.3,  31.9,  39.2,  46.6,  53.9
 88, "KB White Noise FN",       3,  69.3,  15.5,  22.8,  30.4,  38.3,  45.4,  52.8
