  0, "! Startup Juno Osc",      6,  59.7,  10.5,  17.9,  25.3,  32.7,  40.0
  1, "ARP 303 Like FN",         1,  60.3,  17.5,  26.1,  34.2,  42.5,  50.3
  2, "ARP 303 Like II FN",      1,  61.0,  17.9,  27.0,  35.7,  44.7,  53.1
  3, "ARP C64 FN",              1,  61.0,  25.2,  39.9,  54.4,  69.3,  83.9
  4, "ARP C64 II FN",           1,  60.3,  24.5,  39.3,  53.4,  68.0,  82.2
  5, "ARP C64 III FN",          1,  61.0,  24.5,  39.1,  54.0,  69.0,  84.0
  6, "ARP C64 IV FN",           1,  61.0,  20.9,  29.9,  38.6,  47.8,  56.7
  7, "ARP Demotrack ARP FN",    6,  61.6,  12.4,  20.9,  29.4,  38.0,  46.3
  8, "ARP Rumpelkammer FN",     1,  61.6,  14.3,  24.1,  33.5,  43.3,  52.8
  9, "BS 007 X",                6,  61.0,  13.5,  22.8,  31.9,  41.1,  50.3
 10, "BS 7th Gates FN",         1,  61.6,  11.2,  19.3,  27.1,  34.8,  42.4
 11, "BS Bass Deep Room",       1,  61.6,  17.3,  25.8,  33.9,  42.1,  49.8
 12, "BS Bassolead FN",         1,  61.6,  20.6,  30.8,  41.2,  51.7,  61.9
 13, "BS Basspa_ FN",           1,  61.6,  13.6,  22.9,  32.0,  41.3,  50.5
 14, "BS C64 Octavebass FN",    1,  61.0,  19.8,  33.5,  47.0,  60.7,  74.1
 15, "BS Clean Flat Bass",      1,  61.6,  11.2,  19.3,  27.1,  35.0,  42.8
 16, "BS D&B Wubler",           1,  62.2,  12.2,  21.2,  29.9,  38.4,  47.0
 17, "BS Dark Bass",            1,  61.6,  12.0,  21.2,  29.8,  38.5,  47.0
 18, "BS Dark Night FN",        3,  62.2,  13.2,  21.2,  29.3,  37.5,  45.5
 19, "BS Detuned FN",           1,  61.6,  13.7,  22.9,  32.0,  41.5,  50.2
 20, "BS Easy Listener FN",     6,  61.6,  13.5,  22.9,  31.9,  41.2,  50.3
 21, "BS Energyator FN",        1,  61.6,  11.5,  19.5,  27.5,  35.4,  43.3
 22, "BS Fat Side FN",          1,  62.2,  12.1,  21.1,  30.1,  38.9,  47.3
 23, "BS Flamming Bass FN",     1,  61.6,  13.2,  21.8,  30.4,  39.3,  48.0
 24, "BS Goodspeed FN",         1,  61.6,  17.5,  25.6,  33.5,  41.8,  49.7
 25, "BS Hard 80's",            1,  62.2,  12.2,  19.6,  27.0,  34.4,  41.7
 26, "BS Knarziger FN",         1,  61.6,  12.5,  20.0,  27.7,  35.6,  43.2
 27, "BS LFO Roller FN",        1,  62.2,  13.3,  22.2,  31.1,  40.2,  49.1
 28, "BS Madskillz FN",         1,  62.2,  16.9,  24.4,  31.8,  39.7,  47.1
 29, "BS Mixmiddle FN",         1,  62.2,  15.8,  28.7,  41.5,  54.4,  67.3
 30, "BS Night And Day FN",     6,  61.6,  13.4,  22.3,  31.3,  40.2,  49.1
 31, "BS Noizigian FN",         1,  62.2,  13.3,  22.6,  31.8,  41.1,  50.3
 32, "BS Open Bass FN",         1,  62.9,  12.1,  20.6,  29.0,  37.6,  45.9
 33, "BS Pluggiator FN",        1,  62.2,  17.4,  26.1,  34.1,  42.4,  51.0
 34, "BS SAWbreaker FN",        1,  62.2,  13.1,  21.4,  29.6,  37.7,  45.8
 35, "BS Sawlight FN",          1,  62.2,  14.6,  23.0,  31.2,  39.5,  47.8
 36, "BS Sci Fi",               1,  62.2,  18.0,  30.9,  44.3,  57.6,  70.9
 37, "BS Slow Filter FN",       1,  62.2,  19.8,  29.4,  39.0,  48.6,  57.8
 38, "BS Small Bassist FN",     6,  62.2,  19.2,  28.2,  37.0,  46.1,  55.1
 39, "BS Syncetel Bass FN",     6,  62.2,  12.5,  20.2,  27.8,  35.6,  43.2
 40, "BS Tripple Wobbler",      1,  62.2,  11.7,  20.2,  28.5,  37.0,  45.3
 41, "BS Wobbler FN",           1,  62.9,  20.0,  29.9,  39.8,  50.2,  60.0
 42, "BS Wobbler II FN",        1,  62.9,  20.6,  31.1,  41.8,  52.7,  63.5
 43, "CD Universal FN",         1,  62.2,  19.2,  27.8,  36.5,  45.8,  54.5
 44, "CH Chordionator FN",      6,  62.9,  18.5,  26.9,  35.3,  44.0,  52.0
 45, "CH Chordionator II FN",   1,  62.9,  18.6,  27.1,  35.4,  44.2,  52.1
 46, "CH Chordionator III FN",  3,  62.2,  11.6,  20.0,  28.4,  36.6,  44.7
 47, "CH Chordionator IV FN",   1,  62.9,  17.5,  25.9,  34.3,  43.1,  51.7
 48, "CH Open Mind FN",         1,  62.2,  19.2,  27.9,  36.7,  45.6,  54.4
 49, "CH SIDchord FN",          6,  62.9,  20.2,  29.8,  39.7,  49.8,  59.5
 50, "DR 8bit  Kick II FN",     1,  62.2,  17.0,  26.6,  36.1,  45.8,  55.4
 51, "DR 8bit  Kick III FN",    6,  62.9,  21.1,  30.1,  38.9,  48.3,  57.4
 52, "DR 8bit Kick FN",         6,  62.2,  18.8,  26.9,  35.2,  43.6,  52.2
 53, "DR Crash Space",          6,  62.9,  17.2,  31.4,  45.8,  60.4,  75.3
 54, "DR Hat Reverse",          1,  61.6,  13.2,  23.6,  34.0,  44.1,  54.5
 55, "DR Hat Short Moves",      1,  62.9,  13.5,  23.7,  33.8,  44.1,  54.3
 56, "DR Hat Short",            4,  62.9,  13.2,  23.4,  33.6,  43.8,  54.0
 57, "DR HiHat FN",             1,  62.9,  10.1,  16.6,  23.2,  29.7,  36.1
 58, "DR Kick Clean",           1,  62.2,  14.2,  25.0,  36.0,  46.8,  57.7
 59, "DR Kick FN",              1,  62.9,  10.9,  18.3,  25.5,  32.9,  40.2
 60, "DR Kick II FN",           1,  62.9,  21.1,  28.6,  36.1,  43.8,  51.4
 61, "DR Kick III FN",          1,  62.2,  20.9,  29.8,  38.6,  47.9,  56.7
 62, "DR Kick Old School",      6,  62.2,  14.2,  25.1,  35.9,  46.7,  57.6
 63, "DR Kick Phat",            1,  62.9,  19.4,  29.9,  40.4,  50.9,  61.3
 64, "DR Perc Bongo Room",      1,  62.2,  17.6,  26.4,  35.4,  44.2,  52.6
 65, "DR Perc Room",            1,  62.2,  16.4,  24.0,  31.6,  39.2,  46.3
 66, "DR Snare Dry",            1,  62.9,  15.5,  25.1,  34.4,  43.7,  52.6
 67, "DR Sub Impact",           1,  62.9,  11.0,  18.5,  25.9,  33.3,  40.7
 68, "FX Alien Storm",          1,  62.2,  92.8,  93.6,  94.6,  95.2,  96.4
 69, "FX Blubberwasser FN",     1,  62.2,  24.4,  37.4,  51.1,  64.6,  78.0
 70, "FX Break FM",             6,  62.2,  25.9,  43.6,  61.8,  80.7,  99.8
 71, "FX C64 FN",               1,  62.9,  23.2,  36.2,  48.7,  60.9,  72.9
 72, "FX Digital Transfer",     1,  62.9,  23.6,  39.1,  55.3,  72.5,  90.3
 73, "FX Falling Break",        1,  62.2,  47.9,  47.8,  47.6,  47.5,  47.6
 74, "FX Metallica FN",         1,  62.9,  59.6,  59.6,  37.3,  48.5,  59.7
 75, "FX Mod Triangle FM",      1,  62.9,  12.1,  21.5,  31.0,  40.6,  50.0
 76, "FX Noiz3machin3 FN",      1,  62.9,  21.2,  34.2,  49.1,  59.4,  72.4
 77, "FX Quitscheentchen FN",   6,  62.9,  24.4,  37.4,  50.6,  64.3,  77.8
 78, "FX Radeberger FN",        6,  62.9,  24.2,  39.9,  55.7,  69.2,  87.4
 79, "FX Raindrops FN",         6,  62.2,  77.2,  49.3,  50.6,  64.1,  77.0
 80, "FX Reverse FM",           6,  62.9,  12.9,  22.3,  31.7,  41.0,  50.4
 81, "FX SO 6dB Sweep",         1,  62.9,  11.3,  19.3,  27.1,  35.0,  42.7
 82, "FX Swell FN",             1,  62.2,  18.5,  28.2,  37.8,  47.9,  57.6
 83, "FX Turntable FN",         6,  62.9,  28.2,  43.9,  59.7,  76.7,  94.4
 84, "KB Big Synth FN",         6,  62.2,  50.2,  50.3,  50.2,  42.5,  50.0
 85, "KB E-Piano",              6,  62.9,  17.1,  25.6,  33.6,  42.0,  51.6
 86, "KB Glockenschlag FN",     4,  63.5,  19.1,  28.1,  37.1,  46.5,  56.1
 87, "KB Piano House",          6,  62.9,  18.6,  27.1,  35.5,  44.0,  52.1
